title,video_id,views,likes,comment_count,published_at,data,hora
Itaú Uniclass | Pra você chegar lá,-XdpzT6SZmw,7456920,172,14,2024-06-24 20:30:15+00:00,2024-06-24,20:30:15
Case de Sucesso Conexão Itaú | Nox Automação + Restaurante Dom Tugas,1TFcACqUb2U,44445,160,17,2024-06-25 14:58:44+00:00,2024-06-25,14:58:44
Itaú Data Meetup #35 Engenharia de Dados e Analytics: um papo sobre carreira,fxG8l-TyJGo,8195,95,0,2024-06-27 13:00:10+00:00,2024-06-27,13:00:10
Itaú Data Meetup #36 Carreira de Engenharia de Machine Learning,yWGCvNTakXU,5481,70,0,2024-06-28 19:19:39+00:00,2024-06-28,19:19:39
Cinderelas de Chuteira,tjFHSTZHUnY,6497,72,2,2024-07-13 00:35:36+00:00,2024-07-13,00:35:36
Conheça o Parcela Reduzida do Consórcio Itaú de Imóveis,q1L_YsdTgKo,17836,172,5,2024-07-15 15:25:53+00:00,2024-07-15,15:25:53
Segurança - Golpe do Pix,JUVdpBxxx0Y,125566,2336,59,2024-07-17 21:40:12+00:00,2024-07-17,21:40:12
Itaú 100 anos | Fernanda Montenegro,RfdsrdjndAk,7643902,174,18,2024-07-30 01:17:42+00:00,2024-07-30,01:17:42
Itaú Uniclass | Promoção Rock in Rio Forever,77uB287IGiU,1846727,692,11,2024-08-05 23:19:12+00:00,2024-08-05,23:19:12
Itaú Uniclass | Participe da promoção Rock in Rio Forever,h8oZ099GPX4,3021466,65,4,2024-08-06 13:43:45+00:00,2024-08-06,13:43:45
Itaú Unibanco | Resultados Financeiros 2T24,1p063Wg_pbQ,17207,245,10,2024-08-06 22:31:31+00:00,2024-08-06,22:31:31
ITUB4 - Resultados 2T24 - Itaú Unibanco,WaAzVGqZ_q4,7646,157,2,2024-08-07 14:57:58+00:00,2024-08-07,14:57:58
ITUB4 - 2Q24 Results - Itaú Unibanco,FcxXqjI9xS0,2314,23,0,2024-08-07 14:58:39+00:00,2024-08-07,14:58:39
Itaú Unibanco | Financial Results 2Q24,475WOTXdXe4,4992,67,8,2024-08-07 20:43:18+00:00,2024-08-07,20:43:18
Você conhece o Radar de Risco?,pamuaFGNpCc,9458,104,6,2024-08-14 13:59:39+00:00,2024-08-14,13:59:39
Itaú Uniclass | Participe da Promoção Rock in Rio Forever.,YRHqK18HzCI,6827673,335,15,2024-08-16 14:39:05+00:00,2024-08-16,14:39:05
Fernanda Montenegro lê Simone de Beauvoir no Parque Ibirapuera,9mK2xpAQF8E,34761,686,34,2024-08-22 13:21:59+00:00,2024-08-22,13:21:59
Trainee Itaú Unibanco 2025 – Conheça mais sobre as trilhas do programa,xyC9b4_Xy0Q,99143,2296,84,2024-08-27 22:54:58+00:00,2024-08-27,22:54:58
Itaú 100 anos I O futuro será feito de você,OYeqEAandM8,1005673,764,102,2024-09-27 21:32:43+00:00,2024-09-27,21:32:43
O Itaú Unibanco faz 100 anos e o futuro será feito com Mariana.,JtIpvKZz_10,332265,27635,4,2024-10-01 15:08:58+00:00,2024-10-01,15:08:58
Itaú Unibanco | Resultados Financeiros 3T24,06y1ldVJ9vQ,20702,181,11,2024-11-05 13:31:09+00:00,2024-11-05,13:31:09
Itaú Unibanco | Financial Results 3Q24,Fl1X6KUV-5U,9568,48,3,2024-11-05 17:55:42+00:00,2024-11-05,17:55:42
