title,video_id,views,likes,comment_count,published_at,data,hora
Bradesco Celular - Semana só começando... Hoje é terça! ;),HKaWlX42qyc,879326,143,14,2015-05-26 08:30:57+00:00,2015-05-26,08:30:57
Bradesco Celular - Meio da semana e dia de futebol!,i2Arud5WmGk,498699,137,11,2015-05-27 02:41:25+00:00,2015-05-27,02:41:25
Bradesco Celular - Fim de semana chegando! \o/,9llTYMNvraQ,889020,131,4,2015-05-28 02:46:59+00:00,2015-05-28,02:46:59
Bradesco Celular - TGIF! \o/,cq2_4VZo5xA,834778,109,14,2015-05-29 02:40:59+00:00,2015-05-29,02:40:59
Bradesco Celular - Sabadão!,IXKwfrsmxqs,623831,109,20,2015-05-30 02:30:26+00:00,2015-05-30,02:30:26
Bradesco Celular - Curtindo o domingo!,bmtVTuiWevw,509943,113,14,2015-05-31 12:24:45+00:00,2015-05-31,12:24:45
Crédito Flex Bradesco,3FC8oNW6DI0,5244754,18826,1074,2015-06-01 12:15:48+00:00,2015-06-01,12:15:48
Bradesco Celular - Feriadão pra animar a semana! :D,R3jgTJyBb5s,350473,62,5,2015-06-03 19:21:33+00:00,2015-06-03,19:21:33
Excelência é BRA,ZXyC72vtS2Q,49757,147,16,2015-06-05 14:11:42+00:00,2015-06-05,14:11:42
Coragem é BRA,WZdsPC2Hq5o,32335,89,14,2015-06-15 00:26:39+00:00,2015-06-15,00:26:39
Audiodescrição em Festa de Casamento,N96lbyVId2I,1254136,1071,134,2015-06-16 13:58:55+00:00,2015-06-16,13:58:55
Audiodescrição em Festa de Casamento - Conteúdo Acessível,DntjTA7Th3o,73598,389,47,2015-06-16 13:59:09+00:00,2015-06-16,13:59:09
Respeito é BRA,HZbNSsBmNWU,65926,275,36,2015-06-19 18:43:23+00:00,2015-06-19,18:43:23
Determinação é BRA,yOD_eaImxZE,23169,76,14,2015-06-26 14:57:22+00:00,2015-06-26,14:57:22
Revezamento da Tocha Rio 2016 – Manifesto,pQLW775oT7E,868933,231,26,2015-07-03 14:47:59+00:00,2015-07-03,14:47:59
Amizade é BRA,5wwh6m4LfB0,47915,151,13,2015-07-03 19:59:57+00:00,2015-07-03,19:59:57
