title,video_id,views,likes,comment_count,published_at,data,hora
COMO GUARDAR SUA RESERVA DE EMERGÊNCIA?,gf1Bv_omKQU,20173,972,42,2020-07-17 20:41:01+00:00,2020-07-17,20:41:01
"A DIFERENÇA ENTRE CDB, CDI E TAXA DI E SELIC",XfQpHt9EvSo,23502,1732,74,2020-07-25 18:08:27+00:00,2020-07-25,18:08:27
Por que eu ainda falo de poupança? - Pílula Financeira C6 | Ep. 16,pmnIX2JJfh8,7953,611,48,2020-08-01 13:56:48+00:00,2020-08-01,13:56:48
1 ano de lançamento do C6 Bank,p1E48Xf__WI,27569,3286,637,2020-08-05 22:02:39+00:00,2020-08-05,22:02:39
VOCÊ SABE A DIFERENÇA ENTRE RENDA FIXA E RENDA VARIÁVEL?,rVgJ4PadNhg,11295,943,25,2020-08-08 15:20:47+00:00,2020-08-08,15:20:47
#DiaDosPais C6Bank,NVxFINbdmA8,547,93,8,2020-08-09 11:23:01+00:00,2020-08-09,11:23:01
CDB: TUDO QUE UM INICIANTE PRECISA SABER PARA COMEÇAR A INVESTIR,4KYzQCoiHzA,11339,1018,54,2020-08-15 15:14:24+00:00,2020-08-15,15:14:24
Meetup sobre a LGPD no C6 Bank,spgsMQLjbU8,1410,158,11,2020-08-20 23:40:53+00:00,2020-08-20,23:40:53
VERDADEIRO OU FALSO: “Nota de R$ 200 trará inflação de volta”,2xKDMP3zZLE,3159,366,22,2020-08-29 20:33:36+00:00,2020-08-29,20:33:36
C6 Bank: um banco completo e com muito mais do que você imagina,heb961f8Ric,2923174,619,148,2020-09-02 20:00:04+00:00,2020-09-02,20:00:04
PIX: TUDO QUE VOCÊ PRECISA SABER EM 3 MINUTOS,JBooCm7bxGY,26980,2391,241,2020-09-03 14:21:12+00:00,2020-09-03,14:21:12
C6 Bank: é impossível parar de olhar,V2V80oL6Vtw,8132925,903,204,2020-09-08 21:54:33+00:00,2020-09-08,21:54:33
C6 Pay: a maquininha para todos os negócios,bJ0fPvoGfAw,14627,178,24,2020-09-09 18:08:17+00:00,2020-09-09,18:08:17
CHAVES PIX: 6 DÚVIDAS QUE TODO MUNDO TEM (PARTE 1),SRU1sLaHhdg,83653,5248,488,2020-09-11 23:46:44+00:00,2020-09-11,23:46:44
Meetup C6 Bank e CSA BR: Cloud Computing & Privacidade,h7IWktzurGo,1311,166,9,2020-09-18 00:05:27+00:00,2020-09-18,00:05:27
TESOURO DIRETO: O QUE VOCÊ PRECISA SABER ANTES DE INVESTIR,3uiaP_1YNEY,13814,1124,76,2020-09-21 13:19:16+00:00,2020-09-21,13:19:16
"TESOURO SELIC, TESOURO PREFIXADO OU TESOURO IPCA+?",lv1KnBZHQJw,82890,8307,321,2020-09-26 19:07:30+00:00,2020-09-26,19:07:30
