title,video_id,views,likes,comment_count,published_at,data,hora
#ASMR para acabar com o estresse bancário,Gf7BDMwCTlk,17321,1891,309,2019-09-25 14:00:00+00:00,2019-09-25,14:00:00
Indicar amigos pro Nubank ficou ainda mais legal,4rJZromXqeo,75830,3456,305,2019-10-09 16:49:02+00:00,2019-10-09,16:49:02
DÉBITO ou CRÉDITO: qual a melhor forma de pagamento? | Direto ao Ponto,rLRkvvXehFc,357299,22707,622,2019-10-16 14:00:11+00:00,2019-10-16,14:00:11
Saiba tudo sobre o DÉCIMO TERCEIRO salário | Direto ao Ponto,AD_p9KhsS1g,43998,2720,132,2019-11-06 15:01:55+00:00,2019-11-06,15:01:55
Nubankers reagem a posts da NuCommunity,8ChI4JGN5-w,11636,1129,118,2019-11-13 14:00:02+00:00,2019-11-13,14:00:02
Pagar TED no Nubank? Só se for assim.,aDSsgOgaRL0,133094,5153,523,2019-12-02 14:09:03+00:00,2019-12-02,14:09:03
Fim de ano Nubank 2019 - #ReinventeSuasMetas,mJpZFMHsGFA,108501,3437,362,2019-12-11 14:11:43+00:00,2019-12-11,14:11:43
🎁 Top 3 WOWs que fizemos em 2019 | Nubank,4ejErWP1aUU,35708,1819,143,2019-12-23 18:19:55+00:00,2019-12-23,18:19:55
"Histórias WOW - Ramon, da Bahia para a NASA",KJMLW2baVWk,27631,2058,149,2020-01-16 17:02:52+00:00,2020-01-16,17:02:52
NuHistória | Episódio Nação Roxa: uma nação de 20 milhões,XucgBc4D9Kg,30358,2185,249,2020-01-20 13:44:49+00:00,2020-01-20,13:44:49
Como é ser Technical Product Manager no Nubank,f8PNBTEQCDs,48135,1876,132,2020-02-06 16:25:08+00:00,2020-02-06,16:25:08
"Não é Nu, é golpe! 7 dicas para não cair em golpes com o nome do Nubank",Pf8duSl6mIs,136779,6292,371,2020-02-26 17:30:36+00:00,2020-02-26,17:30:36
NuCommunity | O que é a Comunidade Roxa do Nubank?,iFzadJZ7n-Y,23086,1546,97,2020-03-03 14:39:03+00:00,2020-03-03,14:39:03
NOME SUJO? Entenda o que isso realmente significa | Direto ao Ponto,7s6BYEMgHZw,72716,4387,192,2020-03-11 15:03:10+00:00,2020-03-11,15:03:10
NuCommunity |  Regras da casa,Gun0aWHDZKg,24182,1855,128,2020-03-17 23:10:40+00:00,2020-03-17,23:10:40
Aprenda a recarregar seu celular pelo app do Nubank | Me Ajuda,yXD8oyc8Jyk,84688,2160,74,2020-03-27 18:05:56+00:00,2020-03-27,18:05:56
Passo a passo para ativar seu cartão virtual do Nubank | Me Ajuda,xJ2a_eQShoI,325785,7410,126,2020-03-27 18:06:15+00:00,2020-03-27,18:06:15
Como ativar o pagamento por aproximação no app do Nubank | Me Ajuda,B328i1MahRs,530345,8097,139,2020-03-31 19:48:44+00:00,2020-03-31,19:48:44
Aprenda a pagar seus boletos pelo app do Nubank | Me Ajuda,WhRJMJhJ_ik,113123,2452,132,2020-03-31 19:49:00+00:00,2020-03-31,19:49:00
Como fazer transferências pelo app do Nubank | Me Ajuda,E6MArfYy8Ek,62981,1529,75,2020-04-03 14:22:07+00:00,2020-04-03,14:22:07
Precisa fazer home office? Nubankers dão a dica,Mp82qdzajv0,28884,1467,86,2020-04-03 17:40:21+00:00,2020-04-03,17:40:21
Como parcelar minha fatura do Nubank? Tudo o que você tem de saber,CKf9PdF1nNE,74413,3410,243,2020-05-14 14:56:13+00:00,2020-05-14,14:56:13
Papo Nu | Home Office para 2.500 Nubankers,umT1mbxQcys,14943,1405,115,2020-05-14 18:00:14+00:00,2020-05-14,18:00:14
Vidas Negras Importam,bEijLOAD2zU,17746,2070,309,2020-06-03 22:29:09+00:00,2020-06-03,22:29:09
Como fazer doações pelo cartão de crédito no app do Nubank,4PMqMaotvfQ,17082,974,103,2020-06-10 17:59:12+00:00,2020-06-10,17:59:12
Como fazer recarga de celular pelo app do Nubank?,zSQ9IZ68R-g,85783,3468,241,2020-06-24 15:22:42+00:00,2020-06-24,15:22:42
Você conhece o modelo de negócios do Nubank?,-f1Hrd1A1kI,32957,2704,245,2020-07-01 14:08:16+00:00,2020-07-01,14:08:16
"NuCommunity | Ainda não sou usuário, e agora?",gy9aEG7Wkd8,15413,1456,125,2020-07-22 15:06:34+00:00,2020-07-22,15:06:34
Como abrir sua conta do Nubank se você já tem o cartão de crédito,7J_UF5EvWAo,46897,2187,192,2020-08-05 15:10:19+00:00,2020-08-05,15:10:19
Fatura do cartão de crédito SEM SEGREDOS | Direto ao Ponto,wG3w48dK1zA,182391,6411,374,2020-08-12 14:00:13+00:00,2020-08-12,14:00:13
